dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
annealing,svm,ratiorange,247,0.02965,551,0.08308,61440,0.99819,U,24,1.0,1.0
annealing,svm,ratiorange,247,0.02965,551,0.08308,61440,0.99819,4,0,,
annealing,svm,ratiorange,247,0.02965,551,0.08308,61440,0.99819,5,39,1.0,1.0
annealing,svm,ratiorange,255,0.03333,543,0.08164,61440,0.99632,1,5,1.0,0.6
annealing,svm,ratiorange,255,0.03333,543,0.08164,61440,0.99632,3,410,0.9951456310679612,1.0
annealing,svm,ratiorange,255,0.03333,543,0.08164,61440,0.99632,2,65,1.0,1.0
annealing,svm,ratiorange,255,0.03333,543,0.08164,61440,0.99632,U,24,1.0,1.0
annealing,svm,ratiorange,255,0.03333,543,0.08164,61440,0.99632,4,0,,
annealing,svm,ratiorange,255,0.03333,543,0.08164,61440,0.99632,5,39,1.0,1.0
annealing,svm,ratiorange,263,0.0333,535,0.08066,61440,0.99626,1,5,1.0,0.6
annealing,svm,ratiorange,263,0.0333,535,0.08066,61440,0.99626,3,406,0.9950980392156863,1.0
annealing,svm,ratiorange,263,0.0333,535,0.08066,61440,0.99626,2,63,1.0,1.0
annealing,svm,ratiorange,263,0.0333,535,0.08066,61440,0.99626,U,24,1.0,1.0
annealing,svm,ratiorange,263,0.0333,535,0.08066,61440,0.99626,4,0,,
annealing,svm,ratiorange,263,0.0333,535,0.08066,61440,0.99626,5,37,1.0,1.0
annealing,svm,ratiorange,271,0.03237,527,0.07881,61440,0.9962,1,5,1.0,0.6
annealing,svm,ratiorange,271,0.03237,527,0.07881,61440,0.9962,3,400,0.9950248756218906,1.0
annealing,svm,ratiorange,271,0.03237,527,0.07881,61440,0.9962,2,63,1.0,1.0
annealing,svm,ratiorange,271,0.03237,527,0.07881,61440,0.9962,U,23,1.0,1.0
annealing,svm,ratiorange,271,0.03237,527,0.07881,61440,0.9962,4,0,,
annealing,svm,ratiorange,271,0.03237,527,0.07881,61440,0.9962,5,36,1.0,1.0
annealing,svm,ratiorange,279,0.03492,519,0.07871,61440,0.99807,1,4,1.0,0.75
annealing,svm,ratiorange,279,0.03492,519,0.07871,61440,0.99807,3,396,0.9974811083123426,1.0
annealing,svm,ratiorange,279,0.03492,519,0.07871,61440,0.99807,2,62,1.0,1.0
annealing,svm,ratiorange,279,0.03492,519,0.07871,61440,0.99807,U,22,1.0,1.0
annealing,svm,ratiorange,279,0.03492,519,0.07871,61440,0.99807,4,0,,
annealing,svm,ratiorange,279,0.03492,519,0.07871,61440,0.99807,5,35,1.0,1.0
annealing,svm,ratiorange,287,0.03412,511,0.07703,61440,0.99804,1,4,1.0,0.75
annealing,svm,ratiorange,287,0.03412,511,0.07703,61440,0.99804,3,390,0.9974424552429667,1.0
annealing,svm,ratiorange,287,0.03412,511,0.07703,61440,0.99804,2,60,1.0,1.0
annealing,svm,ratiorange,287,0.03412,511,0.07703,61440,0.99804,U,22,1.0,1.0
annealing,svm,ratiorange,287,0.03412,511,0.07703,61440,0.99804,4,0,,
annealing,svm,ratiorange,287,0.03412,511,0.07703,61440,0.99804,5,35,1.0,1.0
annealing,svm,ratiorange,295,0.0354,503,0.0758,61440,1.0,1,3,1.0,1.0
annealing,svm,ratiorange,295,0.0354,503,0.0758,61440,1.0,3,384,1.0,1.0
annealing,svm,ratiorange,295,0.0354,503,0.0758,61440,1.0,2,59,1.0,1.0
annealing,svm,ratiorange,295,0.0354,503,0.0758,61440,1.0,U,22,1.0,1.0
annealing,svm,ratiorange,295,0.0354,503,0.0758,61440,1.0,4,0,,
annealing,svm,ratiorange,295,0.0354,503,0.0758,61440,1.0,5,35,1.0,1.0
annealing,svm,ratiorange,303,0.03718,495,0.07409,61440,1.0,1,3,1.0,1.0
annealing,svm,ratiorange,303,0.03718,495,0.07409,61440,1.0,3,379,1.0,1.0
annealing,svm,ratiorange,303,0.03718,495,0.07409,61440,1.0,2,57,1.0,1.0
annealing,svm,ratiorange,303,0.03718,495,0.07409,61440,1.0,U,22,1.0,1.0
annealing,svm,ratiorange,303,0.03718,495,0.07409,61440,1.0,4,0,,
annealing,svm,ratiorange,303,0.03718,495,0.07409,61440,1.0,5,34,1.0,1.0
annealing,svm,ratiorange,311,0.0372,487,0.07333,61440,1.0,1,3,1.0,1.0
annealing,svm,ratiorange,311,0.0372,487,0.07333,61440,1.0,3,373,1.0,1.0
annealing,svm,ratiorange,311,0.0372,487,0.07333,61440,1.0,2,55,1.0,1.0
annealing,svm,ratiorange,311,0.0372,487,0.07333,61440,1.0,U,22,1.0,1.0
annealing,svm,ratiorange,311,0.0372,487,0.07333,61440,1.0,4,0,,
annealing,svm,ratiorange,311,0.0372,487,0.07333,61440,1.0,5,34,1.0,1.0
annealing,svm,ratiorange,319,0.03947,479,0.07227,61440,1.0,1,3,1.0,1.0
annealing,svm,ratiorange,319,0.03947,479,0.07227,61440,1.0,3,366,1.0,1.0
annealing,svm,ratiorange,319,0.03947,479,0.07227,61440,1.0,2,54,1.0,1.0
annealing,svm,ratiorange,319,0.03947,479,0.07227,61440,1.0,U,22,1.0,1.0
annealing,svm,ratiorange,319,0.03947,479,0.07227,61440,1.0,4,0,,
annealing,svm,ratiorange,319,0.03947,479,0.07227,61440,1.0,5,34,1.0,1.0
annealing,svm,ratiorange,327,0.04216,471,0.07094,65536,1.0,1,3,1.0,1.0
annealing,svm,ratiorange,327,0.04216,471,0.07094,65536,1.0,3,359,1.0,1.0
annealing,svm,ratiorange,327,0.04216,471,0.07094,65536,1.0,2,54,1.0,1.0
annealing,svm,ratiorange,327,0.04216,471,0.07094,65536,1.0,U,22,1.0,1.0
annealing,svm,ratiorange,327,0.04216,471,0.07094,65536,1.0,4,0,,
annealing,svm,ratiorange,327,0.04216,471,0.07094,65536,1.0,5,33,1.0,1.0
annealing,svm,ratiorange,335,0.04054,463,0.0699,61440,1.0,1,3,1.0,1.0
annealing,svm,ratiorange,335,0.04054,463,0.0699,61440,1.0,3,352,1.0,1.0
annealing,svm,ratiorange,335,0.04054,463,0.0699,61440,1.0,2,54,1.0,1.0
annealing,svm,ratiorange,335,0.04054,463,0.0699,61440,1.0,U,21,1.0,1.0
annealing,svm,ratiorange,335,0.04054,463,0.0699,61440,1.0,4,0,,
annealing,svm,ratiorange,335,0.04054,463,0.0699,61440,1.0,5,33,1.0,1.0
annealing,svm,ratiorange,343,0.0406,455,0.06842,65536,1.0,1,2,1.0,1.0
annealing,svm,ratiorange,343,0.0406,455,0.06842,65536,1.0,3,347,1.0,1.0
annealing,svm,ratiorange,343,0.0406,455,0.06842,65536,1.0,2,54,1.0,1.0
annealing,svm,ratiorange,343,0.0406,455,0.06842,65536,1.0,U,20,1.0,1.0
annealing,svm,ratiorange,343,0.0406,455,0.06842,65536,1.0,4,0,,
annealing,svm,ratiorange,343,0.0406,455,0.06842,65536,1.0,5,32,1.0,1.0
annealing,svm,ratiorange,351,0.04091,447,0.06731,61440,1.0,1,2,1.0,1.0
annealing,svm,ratiorange,351,0.04091,447,0.06731,61440,1.0,3,339,1.0,1.0
annealing,svm,ratiorange,351,0.04091,447,0.06731,61440,1.0,2,54,1.0,1.0
annealing,svm,ratiorange,351,0.04091,447,0.06731,61440,1.0,U,20,1.0,1.0
annealing,svm,ratiorange,351,0.04091,447,0.06731,61440,1.0,4,0,,
annealing,svm,ratiorange,351,0.04091,447,0.06731,61440,1.0,5,32,1.0,1.0
annealing,svm,ratiorange,359,0.04478,439,0.06616,65536,1.0,1,2,1.0,1.0
annealing,svm,ratiorange,359,0.04478,439,0.06616,65536,1.0,3,334,1.0,1.0
annealing,svm,ratiorange,359,0.04478,439,0.06616,65536,1.0,2,53,1.0,1.0
annealing,svm,ratiorange,359,0.04478,439,0.06616,65536,1.0,U,19,1.0,1.0
annealing,svm,ratiorange,359,0.04478,439,0.06616,65536,1.0,4,0,,
annealing,svm,ratiorange,359,0.04478,439,0.06616,65536,1.0,5,31,1.0,1.0
annealing,svm,ratiorange,367,0.04229,431,0.0646,65536,1.0,1,1,1.0,1.0
annealing,svm,ratiorange,367,0.04229,431,0.0646,65536,1.0,3,329,1.0,1.0
annealing,svm,ratiorange,367,0.04229,431,0.0646,65536,1.0,2,53,1.0,1.0
annealing,svm,ratiorange,367,0.04229,431,0.0646,65536,1.0,U,17,1.0,1.0
annealing,svm,ratiorange,367,0.04229,431,0.0646,65536,1.0,4,0,,
annealing,svm,ratiorange,367,0.04229,431,0.0646,65536,1.0,5,31,1.0,1.0
annealing,svm,ratiorange,375,0.04366,423,0.06334,65536,1.0,1,1,1.0,1.0
annealing,svm,ratiorange,375,0.04366,423,0.06334,65536,1.0,3,325,1.0,1.0
annealing,svm,ratiorange,375,0.04366,423,0.06334,65536,1.0,2,52,1.0,1.0
annealing,svm,ratiorange,375,0.04366,423,0.06334,65536,1.0,U,16,1.0,1.0
annealing,svm,ratiorange,375,0.04366,423,0.06334,65536,1.0,4,0,,
annealing,svm,ratiorange,375,0.04366,423,0.06334,65536,1.0,5,29,1.0,1.0
annealing,svm,ratiorange,383,0.04764,415,0.06224,65536,1.0,1,1,1.0,1.0
